drug_name	drugbank_code
rifampicin	DB01045
citalopram	DB00215
dobutamine	DB00841
loxapine	DB00408
pimozide	DB01100
ranitidine	DB00863
halofantrine	DB01218
ethambutol	DB00330
amoxapine	DB00543
puromycin	DB08437
nadolol	DB01203
hydroflumethiazide	DB00774
quercetin	DB04216
ciclopirox	DB01188
terconazole	DB00251
isradipine	DB00270
bumetanide	DB00887
valdecoxib	DB00580
clofazimine	DB00845
estrone	DB00655
sulfadimethoxine	DB06150
verapamil	DB00661
ifosfamide	DB01181
epirizole	DB08991
isoxsuprine	DB08941
piperacillin	DB00319
astemizole	DB00637
latamoxef	DB04570
atovaquone	DB01117
cefotaxime	DB00493
verteporfin	DB00460
ritodrine	DB00867
orphenadrine	DB01173
mecamylamine	DB00657
butoconazole	DB00639
imatinib	DB00619
arachidonic.acid	DB04557
biperiden	DB00810
prazosin	DB00457
hexestrol	DB08959
isotretinoin	DB00982
betazole	DB00272
oxybenzone	DB01428
hydrochlorothiazide	DB00999
trimipramine	DB00726
digoxin	DB00390
bendroflumethiazide	DB00436
ergocalciferol	DB00153
pentamidine	DB00738
trimethadione	DB00347
naringenin	DB03467
prochlorperazine	DB00433
diltiazem	DB00343
diphenhydramine	DB01075
perhexiline	DB01074
trichlormethiazide	DB01021
terazosin	DB01162
propofol	DB00818
loracarbef	DB00447
clomipramine	DB01242
guanadrel	DB00226
rosiglitazone	DB00412
nimesulide	DB04743
colistin	DB00803
guaifenesin	DB00874
rescinnamine	DB01180
flucloxacillin	DB00301
nomifensine	DB04821
indapamide	DB00808
enoxacin	DB00467
geldanamycin	DB02424
sulfasalazine	DB00795
clemastine	DB00283
physostigmine	DB00981
sulfamethoxazole	DB01015
cefotetan	DB01330
fluvastatin	DB01095
fluphenazine	DB00623
iobenguane	DB06704
tobramycin	DB00684
triamcinolone	DB00620
tocainide	DB01056
phenazopyridine	DB01438
nitrofural	DB00336
leflunomide	DB01097
nicergoline	DB00699
oxamic.acid	DB03940
hydrocortisone	DB00741
aztreonam	DB00355
mephenytoin	DB00532
ramipril	DB00178
cycloserine	DB00260
chlorzoxazone	DB00356
thiethylperazine	DB00372
nortriptyline	DB00540
doxylamine	DB00366
mebendazole	DB00643
diclofenamide	DB01144
cloxacillin	DB01147
methocarbamol	DB00423
oxybutynin	DB01062
bromopride	DB09018
theobromine	DB01412
methylergometrine	DB00353
exemestane	DB00990
terbutaline	DB00871
oxymetazoline	DB00935
ketoconazole	DB01026
chlorphenamine	DB01114
mycophenolic.acid	DB01024
procaine	DB00721
flavoxate	DB01148
tinidazole	DB00911
imipramine	DB00458
hexetidine	DB08958
riboflavin	DB00140
sulpiride	DB00391
medrysone	DB00253
phensuximide	DB00832
methapyrilene	DB04819
natamycin	DB00826
streptomycin	DB01082
finasteride	DB01216
brompheniramine	DB00835
thalidomide	DB01041
primaquine	DB01087
aminophenazone	DB01424
iloprost	DB01088
ursodeoxycholic.acid	DB01586
triamterene	DB00384
apomorphine	DB00714
equilin	DB02187
felodipine	DB01023
minocycline	DB01017
phenacetin	DB03783
ethotoin	DB00754
carbenoxolone	DB02329
pivampicillin	DB01604
doxazosin	DB00590
tyloxapol	DB06439
sparteine	DB06727
tacrine	DB00382
cyclobenzaprine	DB00924
chlorphenesin	DB00856
monobenzone	DB00600
crotamiton	DB00265
droperidol	DB00450
paromomycin	DB01421
cefoxitin	DB01331
dopamine	DB00988
bromocriptine	DB01200
tranexamic.acid	DB00302
pirenzepine	DB00670
diflorasone	DB00223
practolol	DB01297
nalidixic.acid	DB00779
yohimbine	DB01392
buspirone	DB00490
proguanil	DB01131
brinzolamide	DB01194
zuclopenthixol	DB01624
chlorpropamide	DB00672
furosemide	DB00695
neomycin	DB00994
amoxicillin	DB01060
aminocaproic.acid	DB00513
mestranol	DB01357
rolitetracycline	DB01301
cefazolin	DB01327
estriol	DB04573
danazol	DB01406
menadione	DB00170
mimosine	DB01055
fenoprofen	DB00573
minaprine	DB00805
tolbutamide	DB01124
sulfadiazine	DB00359
azlocillin	DB01061
minoxidil	DB00350
doxorubicin	DB00997
aminophylline	DB01223
netilmicin	DB00955
apramycin	DB04626
hydralazine	DB01275
acetohexamide	DB00414
alclometasone	DB00240
tetracycline	DB00759
alsterpaullone	DB04014
promazine	DB00420
diphenylpyraline	DB01146
trifluridine	DB00432
probucol	DB01599
simvastatin	DB00641
metaraminol	DB00610
lisinopril	DB00722
dicloxacillin	DB00485
azacitidine	DB00928
isocarboxazid	DB01247
spectinomycin	DB00919
methyldopa	DB00968
cetirizine	DB00341
camptothecin	DB04690
naphazoline	DB06711
cinchocaine	DB00527
tacrolimus	DB00864
pyrimethamine	DB00205
saquinavir	DB01232
flunisolide	DB00180
hesperidin	DB04703
carbachol	DB00411
troglitazone	DB00197
etodolac	DB00749
doxepin	DB01142
etoposide	DB00773
rofecoxib	DB00533
albendazole	DB00518
mepyramine	DB06691
etidronic.acid	DB01077
flupentixol	DB00875
bacampicillin	DB01602
mefloquine	DB00358
niflumic.acid	DB04552
metixene	DB00340
lobeline	DB05137
cimetidine	DB00501
ampicillin	DB00415
betamethasone	DB00443
tropicamide	DB00809
ethosuximide	DB00593
tenoxicam	DB00469
sulfamethizole	DB00576
pindolol	DB00960
griseofulvin	DB00400
guanfacine	DB01018
amantadine	DB00915
prednicarbate	DB01130
isometheptene	DB06706
diclofenac	DB00586
furazolidone	DB00614
betaxolol	DB00195
theophylline	DB00277
levobunolol	DB01210
clioquinol	DB04815
tridihexethyl	DB00505
procarbazine	DB01168
dimenhydrinate	DB00985
nitrofurantoin	DB00698
fursultiamine	DB08966
pivmecillinam	DB01605
mianserin	DB06148
metolazone	DB00524
meclofenamic.acid	DB00939
clonidine	DB00575
ticlopidine	DB00208
orlistat	DB01083
hesperetin	DB01094
ginkgolide.A	DB06743
clozapine	DB00363
deferoxamine	DB00746
nifedipine	DB01115
tiaprofenic.acid	DB01600
dicoumarol	DB00266
ribavirin	DB00811
maprotiline	DB00934
ketorolac	DB00465
sirolimus	DB00877
acetylsalicylic.acid	DB00945
tolmetin	DB00500
dinoprostone	DB00917
sulfinpyrazone	DB01138
cyanocobalamin	DB00115
sotalol	DB00489
baclofen	DB00181
raloxifene	DB00481
ketoprofen	DB01009
nalbuphine	DB00844
nystatin	DB00646
domperidone	DB01184
prednisone	DB00635
carteolol	DB00521
bepridil	DB01244
topiramate	DB00273
naloxone	DB01183
ofloxacin	DB01165
clofibrate	DB00636
methazolamide	DB00703
gliclazide	DB01120
amikacin	DB00479
mercaptopurine	DB01033
viomycin	DB06827
isoniazid	DB00951
ceforanide	DB00923
bisacodyl	DB09020
promethazine	DB01069
riluzole	DB00740
sulfanilamide	DB00259
fulvestrant	DB00947
